# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
shao wei 	稍微	c=1 d=1 t=15035
she 	設	c=1 d=1 t=24931
she bao 	社保	c=1 d=1 t=15972
she bao ju 	社保局	c=1 d=1 t=11455
she bao ka 	社保卡	c=2 d=1 t=11358
she bei 	設備	c=22 d=1 t=28510
she de 	捨得	c=1 d=0.894534 t=24410
she ding 	設定	c=1 d=1 t=4495
she ji 	涉及	c=11 d=1.00004 t=23909
she ji 	設計	c=12 d=1.17058 t=29304
she ji chu 	設計出	c=1 d=1 t=25876
she ji dao 	涉及到	c=1 d=1 t=28249
she ji yu shi xian 	設計與實現	c=1 d=1 t=23039
she me 	什麼	c=1 d=1 t=16501
she qu 	社區	c=1 d=1 t=14573
she xiang tou 	攝像頭	c=5 d=1.96561 t=14811
she zhao 	社招	c=1 d=1 t=7413
she zhi 	設置	c=19 d=1.04979 t=28428
shen 	深	c=4 d=2.03203 t=29388
shen fen zheng 	身份證	c=2 d=1.16613 t=6346
shen he 	審覈	c=26 d=1.52729 t=17275
shen he zhong 	審覈中	c=4 d=2.79446 t=8605
shen jing 	神經	c=1 d=1 t=20341
shen me 	什麼	c=48 d=1.6409 t=29576
shen me cuo 	什麼錯	c=1 d=1 t=21529
shen me guan xi 	什麼關係	c=1 d=1 t=593
shen me hui 	什麼會	c=1 d=1 t=21713
shen me shi hou 	什麼時候	c=9 d=1.00035 t=28614
shen me yi si 	什麼意思	c=2 d=1 t=12701
shen pi 	審批	c=1 d=1 t=17255
shen qing 	申請	c=12 d=1 t=27333
shen ru 	深入	c=2 d=1 t=28667
shen ru li jie 	深入理解	c=1 d=1 t=9682
shen su 	申訴	c=1 d=1 t=3198
shen zhi 	甚至	c=4 d=1 t=27089
sheng 	生	c=2 d=1 t=15845
sheng 	省	c=2 d=1.956 t=7363
sheng 	聲	c=1 d=1 t=19155
sheng bing 	生病	c=1 d=1 t=15937
sheng chan 	生產	c=6 d=1.00052 t=29008
sheng cheng 	生成	c=25 d=1 t=25202
sheng chu 	勝出	c=1 d=1 t=16767
sheng huo 	生活	c=6 d=2.00419 t=28252
sheng ji 	升級	c=6 d=0.101979 t=23153
sheng ji wei 	升級爲	c=1 d=1 t=23154
sheng lve 	省略	c=1 d=1 t=15434
sheng ming 	生命	c=1 d=1 t=22430
sheng ming 	聲明	c=3 d=2.29846 t=11981
sheng ri 	生日	c=1 d=1 t=979
sheng tai 	生態	c=1 d=1 t=1660
sheng xiao 	生效	c=0 d=0.1 t=28974
sheng yu 	剩餘	c=7 d=3.82144 t=15403
sheng yu 	生育	c=3 d=2.81435 t=16122
shi 	事	c=12 d=1 t=21834
shi 	使	c=2 d=1.00028 t=25059
shi 	式	c=11 d=1.48192 t=15440
shi 	是	c=418 d=1.15786 t=29414
shi 	時	c=67 d=1.03065 t=28979
shi 	試	c=0 d=0.1 t=2568
shi ba 	是吧	c=20 d=1 t=28613
shi bai 	失敗	c=88 d=2.14871 t=29225
shi bie 	識別	c=2 d=1 t=18536
shi bu chu 	試不出	c=1 d=1 t=2569
shi bu shi 	是不是	c=25 d=1.00002 t=27372
shi bu shi 	時不時	c=1 d=1 t=26591
shi bu shi ke yi 	是不是可以	c=1 d=1 t=14485
shi chang 	市場	c=1 d=1 t=24891
shi chang 	時長	c=17 d=1.00095 t=28419
shi de 	使得	c=4 d=1 t=25561
shi dui 	是對	c=1 d=1 t=24432
shi duo shao 	是多少	c=2 d=1.02625 t=10555
shi fen 	十分	c=1 d=1 t=12408
shi fou 	是否	c=17 d=1.93707 t=28309
shi ge 	是個	c=1 d=1 t=29048
shi gu 	事故	c=1 d=1 t=26916
shi hou 	時候	c=70 d=1.20107 t=27700
shi ji 	世紀	c=1 d=1 t=27544
shi ji 	實際	c=2 d=1 t=18516
shi ji shang 	實際上	c=2 d=1 t=27033
shi jian 	事件	c=17 d=1 t=18398
shi jian 	時間	c=44 d=0.952856 t=28628
shi jian cha 	時間差	c=1 d=1 t=3554
shi jian chuo 	時間戳	c=4 d=3.77145 t=12678
shi jian xun huan 	事件循環	c=1 d=1 t=13325
shi jie 	世界	c=0 d=0.1 t=28370
shi jin zhi 	十進制	c=3 d=1.00009 t=27452
shi ke 	時刻	c=1 d=1 t=24127
shi kong 	失控	c=2 d=1.99005 t=24380
shi lai 	十來	c=1 d=1 t=3908
shi le 	試了	c=1 d=1 t=24952
shi li 	實例	c=2 d=1.9802 t=18394
shi li 	示例	c=1 d=1 t=23965
shi liu 	十六	c=1 d=1 t=25480
shi liu jin zhi 	十六進制	c=5 d=2.46319 t=25685
shi me 	是麼	c=13 d=1 t=25093
shi nai de 	施耐德	c=1 d=1 t=13723
shi pei 	適配	c=8 d=1 t=27897
shi pei qi 	適配器	c=4 d=1.12417 t=24631
shi pin 	視頻	c=17 d=1.29523 t=29486
shi pin hui yuan 	視頻會員	c=2 d=1 t=9393
shi qing 	事情	c=1 d=1 t=13485
shi qu 	失去	c=1 d=1 t=13764
shi sha 	是啥	c=2 d=1 t=15979
shi shang 	時尚	c=1 d=1 t=20196
shi shi 	實時	c=1 d=0.1 t=17955
shi shi 	試試	c=10 d=1 t=29064
shi shi xing 	實時性	c=1 d=1 t=17956
shi shu 	實數	c=1 d=1 t=19571
shi su 	時速	c=1 d=1 t=27817
shi sun 	石筍	c=1 d=1 t=28884
shi tang 	食堂	c=1 d=1 t=9764
shi ti 	實體	c=11 d=2.68818 t=29151
shi tu 	視圖	c=1 d=1 t=14974
shi tu 	試圖	c=2 d=1.97531 t=15156
shi wei 	視爲	c=2 d=1.02215 t=25380
shi wu 	事務	c=7 d=1 t=28935
shi xian 	實現	c=22 d=2.94221 t=29435
shi xiao 	失效	c=1 d=1 t=23372
shi yao 	是要	c=1 d=1 t=5670
shi yi ge 	十一個	c=1 d=1 t=28085
shi yi yang 	是一樣	c=1 d=1 t=4995
shi yin wei 	是因爲	c=1 d=1 t=1129
shi yong 	使用	c=111 d=3.86897 t=29420
shi yong 	實用	c=1 d=1 t=26616
shi yong 	試用	c=2 d=1.04568 t=27954
shi yong 	適用	c=1 d=1 t=24783
shi yong yu 	適用於	c=2 d=1.91393 t=12139
shi yong zhan 	試用站	c=1 d=1 t=27316
shi zai 	實在	c=6 d=1 t=21951
shi zhi 	實質	c=1 d=1 t=13357
shi zhong 	時鐘	c=2 d=1.75957 t=257
shi zi 	石子	c=1 d=1 t=23584
shou 	受	c=1 d=1 t=17166
shou 	手	c=1 d=1 t=646
shou 	收	c=3 d=1 t=27338
shou biao 	手錶	c=1 d=1 t=20115
shou ce 	手冊	c=1 d=1 t=1442
shou dao 	受到	c=1 d=1 t=13644
shou dao 	收到	c=12 d=1.13966 t=28495
shou dao 	瘦到	c=1 d=1 t=13643
shou dian tong 	手電筒	c=1 d=1 t=28546
shou dong 	手動	c=7 d=1.00004 t=24924
shou fei 	收費	c=1 d=1 t=19452
shou ji 	手機	c=16 d=1.00421 t=28479
shou ji 	收集	c=3 d=2.60705 t=28478
shou ji hao 	手機號	c=17 d=1.00001 t=19171
shou ni kong zhi 	受你控制	c=1 d=1 t=13571
shou qi lai 	收起來	c=1 d=1 t=10682
shou qu 	收取	c=1 d=1 t=25262
shou quan 	授權	c=5 d=3.79055 t=28331
shou ru 	收入	c=2 d=1 t=8804
shou xian 	首先	c=5 d=1 t=25738
shou xian zai 	首先在	c=1 d=1 t=19538
shou zhi 	收支	c=16 d=3.13332 t=9256
shou zhi ji lu 	收支記錄	c=1 d=1 t=8708
shu 	數	c=22 d=1.00627 t=29280
shu 	書	c=2 d=1 t=23460
shu 	樹	c=9 d=4.64289 t=29447
shu 	熟	c=1 d=1.00012 t=16361
shu biao 	鼠標	c=27 d=4.97753 t=27946
shu chu 	輸出	c=5 d=1 t=22401
shu cun lu 	樹村路	c=2 d=1.98511 t=14826
shu gui 	書櫃	c=1 d=1 t=10544
shu ju 	數據	c=61 d=1.02479 t=29391
shu ju cha xun 	數據查詢	c=1 d=1 t=6325
shu ju fen bu 	數據分佈	c=1 d=1 t=19859
shu ju jie gou 	數據結構	c=4 d=1.08629 t=29295
shu ju ku 	數據庫	c=25 d=1.14698 t=29294
shu ju lei xing 	數據類型	c=4 d=2.58193 t=26840
shu ju liang 	數據量	c=2 d=1 t=18128
shu ju liu 	數據流	c=1 d=1 t=24633
shu ju xian 	數據線	c=1 d=1 t=1545
shu ju yuan 	數據源	c=1 d=1 t=6261
shu li 	梳理	c=2 d=1 t=20432
shu liang 	數量	c=11 d=1 t=17461
shu mei 	樹莓	c=0 d=0.1 t=502
shu mei pai 	樹莓派	c=2 d=1.00002 t=2646
shu ru 	輸入	c=4 d=1 t=21803
shu ru fa 	輸入法	c=11 d=2.9216 t=29582
shu shi 	舒適	c=1 d=1 t=804
shu wei 	數位	c=1 d=1 t=12150
shu xi 	熟悉	c=1 d=1 t=13403
shu xia 	屬下	c=2 d=1.8781 t=23163
shu xie 	書寫	c=1 d=1 t=25482
shu xing 	屬性	c=10 d=1 t=26653
shu xue 	數學	c=2 d=1 t=26629
shu yu 	屬於	c=2 d=1 t=27645
shu yu 	術語	c=2 d=1.92312 t=25053
shu zhi 	數值	c=4 d=1.78523 t=27693
shu zi 	數字	c=27 d=1.77394 t=27040
shu zu 	數組	c=12 d=2.88601 t=29418
shua 	刷	c=3 d=1 t=26593
shua xin 	刷新	c=5 d=1 t=26157
shuang 	雙	c=5 d=1.00023 t=29422
shuang 	霜	c=1 d=0.1 t=19133
shui 	水	c=1 d=1 t=15056
shui 	睡	c=11 d=1.00022 t=24676
shui 	誰	c=9 d=1.98511 t=22386
shui ba 	睡吧	c=0 d=0.1 t=14836
shui dou 	水痘	c=1 d=1 t=650
shui hao 	睡好	c=2 d=1 t=22542
shui hui 	睡會	c=1 d=1 t=19099
shui jiao 	睡覺	c=2 d=1.00291 t=19930
shui kuan 	稅款	c=1 d=1 t=6188
shui le 	睡了	c=1 d=1 t=2296
shui ping 	水平	c=1 d=1 t=13621
shui shuo 	誰說	c=1 d=1 t=21290
shun 	順	c=1 d=1 t=463
shun li 	順利	c=1 d=1 t=6803
shun xu 	順序	c=18 d=1.8353 t=28064
shuo 	說	c=57 d=1.0009 t=28755
shuo bu qing 	說不清	c=2 d=1.94649 t=3826
shuo de 	說的	c=2 d=1 t=19183
shuo hua 	說話	c=2 d=1 t=22573
shuo ming 	說明	c=10 d=1 t=26542
shuo ne 	說呢	c=0 d=0.1 t=10118
shuo shi 	說是	c=2 d=1 t=29522
shuo shi hua 	說實話	c=1 d=1 t=16325
shuo shuo 	說說	c=4 d=1.16043 t=17939
shuo shuo hua 	說說話	c=1 d=1 t=17240
si 	四	c=4 d=1 t=9644
si 	思	c=0 d=0.1 t=9736
si 	死	c=2 d=1 t=26105
si ge 	四個	c=4 d=1.01222 t=23968
si gu xiang 	思故鄉	c=2 d=1 t=19140
si ji 	司機	c=1 d=1 t=12163
si ji 	死機	c=2 d=1.00708 t=12162
si kao 	思考	c=1 d=1 t=27023
si le 	死了	c=2 d=1.00438 t=23578
si lu 	思路	c=1 d=1 t=14903
si mi 	私密	c=3 d=1 t=10496
si suo 	死鎖	c=1 d=1 t=28936
si xiang 	思想	c=2 d=1 t=24257
si you 	私有	c=1 d=1 t=9464
si yuan 	思源	c=5 d=2.06411 t=9744
song 	送	c=4 d=1 t=26379
song ci 	宋詞	c=1 d=1 t=9048
song guo qu 	送過去	c=1 d=1 t=12102
song huo 	送貨	c=2 d=1.92312 t=21132
song huo shang men 	送貨上門	c=1 d=1 t=27536
song ni 	送你	c=1 d=1 t=11339
song qu 	送去	c=2 d=1.96079 t=11659
sou 	搜	c=2 d=1.00006 t=20920
sou gua 	搜刮	c=1 d=1 t=7158
sou suo 	搜索	c=2 d=1 t=18794
su dong po 	蘇東坡	c=2 d=1.99005 t=9052
su du 	速度	c=5 d=1.01515 t=29410
su du man 	速度慢	c=1 d=1 t=9347
su zhu 	宿主	c=2 d=1.94649 t=13152
suan 	算	c=12 d=1.00068 t=28781
suan cai yu 	酸菜魚	c=2 d=1.20909 t=28412
suan fa 	算法	c=11 d=2.83476 t=29334
suan fa ti 	算法題	c=1 d=1 t=16533
suan le 	算了	c=1 d=1 t=22510
suan shu 	算術	c=1 d=1 t=27076
sui 	歲	c=7 d=6.38762 t=24793
sui bian 	隨便	c=2 d=1 t=5965
sui ji 	隨機	c=1 d=1 t=24059
sui ran 	雖然	c=14 d=1.00029 t=28759
sui shi 	隨時	c=3 d=1 t=27010
sui shou 	隨手	c=0 d=0.1 t=25991
sui shou ji 	隨手記	c=4 d=3.84612 t=26013
sui yi 	隨意	c=2 d=1.61878 t=21922
sui zhe 	隨着	c=2 d=1 t=24210
sun hai 	損害	c=1 d=1 t=13639
sun shi 	損失	c=1 d=1 t=11621
sun wei 	孫偉	c=2 d=1.00039 t=2907
sun wei 	孫爲	c=1 d=1 t=1336
suo 	所	c=8 d=1.00003 t=27680
suo lve tu 	縮略圖	c=1 d=1 t=1940
suo shi yong 	所使用	c=1 d=1 t=25616
suo shuo 	所說	c=2 d=1 t=13378
suo wei 	所謂	c=2 d=1 t=7139
suo xie 	縮寫	c=1 d=1 t=27736
suo xing 	所幸	c=1 d=1 t=15782
suo xing 	索性	c=1 d=1 t=15781
suo xu 	所需	c=2 d=1 t=26381
suo xu yao 	所需要	c=1 d=1 t=14679
suo yi 	所以	c=27 d=1.02612 t=26262
suo yin 	索引	c=24 d=5.93902 t=29440
suo you 	所有	c=34 d=1 t=29190
ta 	他	c=46 d=1.90937 t=29559
ta 	她	c=20 d=1.79453 t=14062
ta 	它	c=33 d=1.01259 t=28000
ta de 	他的	c=1 d=1 t=26870
ta men 	他們	c=19 d=1.02171 t=28047
ta men 	它們	c=4 d=1 t=28048
ta shuo 	他說	c=4 d=1 t=20309
tai 	太	c=15 d=1.00943 t=27401
tai da 	太大	c=2 d=1.01304 t=18129
tai du 	態度	c=1 d=1 t=3835
tai duo 	太多	c=3 d=1.92312 t=25340
tai duo le 	太多了	c=1 d=1 t=1293
tai gan 	太乾	c=1 d=1 t=18678
tai gui 	太貴	c=5 d=1.90955 t=11051
tai keng 	太坑	c=1 d=1 t=15922
tai kuai 	太快	c=1 d=1 t=7182
tai luan 	太亂	c=1 d=1 t=25341
tai man 	太慢	c=1 d=1 t=24963
tai nan 	太難	c=3 d=1.2658 t=16395
tai shao 	太少	c=1 d=1 t=16370
tai xiao 	太小	c=1 d=1 t=26772
tai yang 	太陽	c=1 d=1 t=16844
tan 	談	c=1 d=1 t=19513
tan suo 	探索	c=1 d=1 t=10858
tan tao 	探討	c=0 d=0.1 t=13732
tan tao guo 	探討過	c=1 d=1 t=13733
tang shi 	唐詩	c=6 d=5.73465 t=9748
tang zhe 	躺着	c=1 d=1 t=24822
tao 	套	c=1 d=0.1 t=25162
tao bao 	淘寶	c=2 d=1.91393 t=8420
tao lu 	套路	c=1 d=1 t=16253
tao lun 	討論	c=1 d=1 t=16565
tao tai 	淘汰	c=1 d=1 t=29321
te 	特	c=2 d=1 t=28105
te bie 	特別	c=3 d=1.00099 t=27117
te bie man 	特別慢	c=1 d=1 t=26195
te bie shi 	特別是	c=1 d=1 t=12992
te dian 	特點	c=1 d=1 t=29442
te ding 	特定	c=4 d=1.03616 t=13605
te ding yong hu 	特定用戶	c=1 d=1 t=5962
te shu 	特殊	c=2 d=0.1 t=27689
te shu zhi 	特殊值	c=1 d=1 t=27690
te xing 	特性	c=4 d=1 t=28808
te zheng 	特徵	c=2 d=1.00032 t=16939
teng 	疼	c=7 d=3.70308 t=22525
teng xun 	騰訊	c=7 d=1.05448 t=9395
teng xun hui yuan 	騰訊會員	c=1 d=1 t=9266
ti 	提	c=7 d=1 t=23013
ti 	題	c=1 d=1.09048 t=16552
ti dao 	提到	c=2 d=1.02128 t=12711
ti gao 	提高	c=6 d=1 t=28570
ti gei 	提給	c=1 d=1 t=14250
ti gong 	提供	c=11 d=1.00606 t=28080
ti gong shang 	提供商	c=1 d=1 t=4570
ti huan 	替換	c=3 d=1 t=23486
ti jian 	體檢	c=3 d=1 t=27785
ti jiao 	提交	c=14 d=1.00245 t=22154
ti sheng 	提升	c=1 d=1 t=19532
ti shi 	提示	c=7 d=1 t=27966
ti wen 	體溫	c=0 d=0.1 t=464
ti xi 	體系	c=1 d=1 t=19227
ti xi jie gou 	體系結構	c=1 d=1 t=27986
ti xin 	提薪	c=1 d=1 t=6819
ti xing 	提醒	c=1 d=1 t=8476
ti yao 	提要	c=1 d=1 t=9628
ti yu 	體育	c=1 d=1 t=2197
tian 	填	c=4 d=1.00001 t=27357
tian 	天	c=11 d=1.96083 t=28355
tian 	田	c=1 d=1 t=2650
tian chong 	填充	c=2 d=1 t=25316
tian jia 	添加	c=85 d=4.12257 t=29076
tian jia yong hu 	添加用戶	c=1 d=1 t=18634
tian jin 	天津	c=2 d=1 t=22758
tian jin shi 	天津市	c=1 d=1 t=6343
tian kong 	天空	c=1 d=1 t=14790
tian mao 	天貓	c=2 d=1 t=9387
tian qi 	天氣	c=1 d=1 t=23249
tian shu 	天數	c=6 d=1.00338 t=26337
tian tian 	天天	c=3 d=1.97531 t=22801
tian tong yuan 	天通苑	c=6 d=1 t=28114
tiao 	條	c=3 d=1.98512 t=17173
tiao 	調	c=7 d=1 t=27006
tiao 	跳	c=2 d=1.48191 t=16258
tiao ban 	跳板	c=0 d=0.1 t=191
tiao ban ji 	跳板機	c=4 d=3.60008 t=271
tiao biao 	跳錶	c=2 d=1.05502 t=29426
tiao jian 	條件	c=9 d=1.96079 t=19046
tiao shi 	調試	c=7 d=1 t=26051
tiao shi gong ju 	調試工具	c=2 d=1 t=19128
tiao xin 	調薪	c=1 d=1 t=16171
tiao xuan 	挑選	c=1 d=1 t=23135
tiao you 	調優	c=1 d=1 t=19535
tiao zheng 	調整	c=12 d=1.36621 t=28976
tiao zhuan 	跳轉	c=5 d=1 t=23295
tie 	貼	c=2 d=1 t=5541
ting 	停	c=3 d=1.41895 t=28490
ting 	庭	c=1 d=1 t=23339
ting 	挺	c=7 d=2.52226 t=26523
ting 	聽	c=1 d=1 t=21671
ting bu dao 	聽不到	c=1 d=1 t=17622
ting che 	停車	c=4 d=1.97531 t=23728
ting da 	挺大	c=2 d=1 t=20449
ting gao 	挺高	c=1 d=1 t=3082
ting hao 	挺好	c=7 d=1 t=28757
ting hua 	聽話	c=2 d=1 t=22008
ting leng 	挺冷	c=1 d=1 t=280
ting re 	挺熱	c=1 d=1 t=21069
ting shuo 	聽說	c=1 d=1 t=3614
ting shuo guo 	聽說過	c=2 d=1.50409 t=28878
ting xiang 	挺香	c=1 d=1 t=12159
ting you 	挺有	c=1 d=1 t=23471
ting zhi 	停止	c=2 d=1 t=22410
tong 	同	c=4 d=1 t=25714
tong 	通	c=4 d=1.5886 t=21043
tong bu 	同步	c=7 d=1 t=28659
tong chang 	通常	c=7 d=1.3966 t=24601
tong cheng wei 	統稱爲	c=1 d=1 t=11836
tong dao 	通道	c=1 d=1 t=23962
tong gong neng 	同功能	c=1 d=1 t=18250
tong guo 	通過	c=31 d=1.95127 t=29535
tong hua 	通話	c=2 d=1 t=20326
tong ji 	統計	c=3 d=1 t=26086
tong kuai 	痛快	c=0 d=0.1 t=9968
tong lei 	同類	c=1 d=1 t=24171
tong ming 	同名	c=1 d=1 t=8390
tong shi 	同事	c=2 d=1 t=20494
tong shi 	同時	c=6 d=1.21658 t=27069
tong wen 	同文	c=1 d=1 t=8174
tong xin 	通信	c=3 d=1.9802 t=24598
tong xue 	同學	c=7 d=1 t=26451
tong yang 	同樣	c=5 d=1.00001 t=26717
tong yi 	同意	c=5 d=1 t=15580
tong yi 	統一	c=8 d=1.02259 t=21985
tong yi ge 	同一個	c=4 d=1.03937 t=17678
tong yi pi 	同一批	c=1 d=1 t=17146
tong yong 	通用	c=5 d=1 t=28102
tong zhi 	通知	c=11 d=1 t=29578
tou 	投	c=2 d=1.00343 t=17534
tou 	透	c=2 d=1.91393 t=15572
tou 	頭	c=8 d=1.00001 t=27202
tou ben 	投奔	c=1 d=1 t=3877
tou chuan 	頭傳	c=2 d=1.91393 t=15571
tou fa 	頭髮	c=1 d=1 t=28276
tou fang 	投放	c=2 d=1.94649 t=19037
tou feng 	透風	c=0 d=0.1 t=21069
tou pi 	頭皮	c=1 d=1 t=7487
tou teng 	頭疼	c=2 d=1 t=22487
tou tiao 	頭條	c=1 d=1 t=16401
tou tou qi 	透透氣	c=1 d=1 t=28368
tou xiang 	頭像	c=4 d=1 t=7917
tu 	圖	c=2 d=1.94176 t=24522
tu 	土	c=1 d=1 t=23581
tu an 	圖案	c=2 d=1.94649 t=23063
tu biao 	圖標	c=2 d=1.96561 t=1191
tu chong 	圖蟲	c=1 d=1 t=28393
tu chuang 	圖牀	c=1 d=1 t=20129
tu ji 	突擊	c=1 d=1 t=23863
tu jie 	圖解	c=1 d=1 t=19488
tu jing 	途徑	c=0 d=0.1 t=14180
tu jing dian 	途徑點	c=1 d=1 t=14181
tu lao 	徒勞	c=1 d=1 t=7143
tu nai 	吐奶	c=1 d=1 t=490
tu pian 	圖片	c=1 d=1 t=20217
tu ran 	突然	c=1 d=1 t=159
tuan dui 	團隊	c=1 d=1 t=7046
tui 	推	c=4 d=1 t=26475
tui 	腿	c=2 d=1 t=26957
tui 	退	c=3 d=1 t=28130
tui chu 	退出	c=2 d=1 t=20772
tui dao 	推導	c=1 d=1 t=13514
tui guang 	推廣	c=3 d=2.56506 t=26534
tui jian 	推薦	c=11 d=1 t=21674
tui kuan 	退款	c=1 d=1 t=21645
tui li 	推理	c=1 d=1 t=25881
tui song 	推送	c=1 d=1 t=10439
tun 	吞	c=1 d=1 t=15189
tun diao 	吞掉	c=1 d=1 t=14682
tuo 	拖	c=2 d=1 t=21652
tuo feng 	駝峯	c=1 d=1 t=6312
tuo zhan 	拓展	c=4 d=2.51744 t=26845
tuo zhan ming 	拓展名	c=1 d=1 t=23693
wa 	娃	c=1 d=1 t=7178
wa cai 	挖財	c=1 d=1 t=25989
wa wa 	娃娃	c=2 d=0.1 t=14839
wai 	外	c=3 d=1 t=20134
wai bao 	外包	c=3 d=1 t=22172
wai bu 	外部	c=3 d=1 t=23958
wai di 	外地	c=0 d=0.1 t=155
wai di che 	外地車	c=2 d=1.00043 t=1706
wai guan 	外觀	c=0 d=0.1 t=1112
wai guan yang shi 	外觀樣式	c=1 d=1 t=1113
wai jian 	外鍵	c=1 d=1 t=29143
wai jian 	外間	c=1 d=1 t=10840
wai jie 	外接	c=2 d=1.96561 t=1782
wai lai 	外來	c=1 d=1 t=12532
wai mian 	外面	c=3 d=1 t=25272
wai wang 	外網	c=1 d=1 t=21750
wai yan she 	外研社	c=1 d=1 t=23465
wai zhi 	外置	c=1 d=1 t=1519
wan 	完	c=15 d=1.82489 t=28708
wan 	晚	c=3 d=0.106006 t=23347
wan 	玩	c=4 d=1.00007 t=28477
wan 	碗	c=1 d=1 t=17834
wan 	萬	c=7 d=1 t=22990
wan cheng 	完成	c=55 d=1.00003 t=28548
wan dan 	完蛋	c=1 d=1 t=5588
wan dian 	晚點	c=3 d=1.00315 t=10086
wan hui 	挽回	c=1 d=1 t=2951
wan jia 	玩家	c=1 d=1 t=10261
wan ju 	玩具	c=1 d=1 t=10264
wan le 	完了	c=21 d=1.72979 t=28453
wan quan 	完全	c=6 d=1.01783 t=25711
wan shan 	完善	c=21 d=1.59045 t=29104
wan shang 	晚上	c=19 d=3.05273 t=27942
wan yi 	玩意	c=9 d=2.45896 t=26549
wan yi 	萬一	c=1 d=1 t=15499
wan zheng 	完整	c=3 d=1 t=27192
wang 	忘	c=1 d=1 t=27945
wang 	望	c=2 d=1 t=19137
wang 	王	c=7 d=1.0005 t=18835
wang 	網	c=1 d=1.07483 t=16681
wang guan 	網關	c=22 d=1.11392 t=29214
wang guan fu wu 	網關服務	c=1 d=1 t=21141
wang guan le 	網關了	c=1 d=1 t=29157
wang jing 	望京	c=1 d=1 t=3934
wang le 	忘了	c=4 d=1 t=27951
wang luo 	網絡	c=15 d=1.08673 t=29293
wang na le 	忘拿了	c=1 d=1 t=1787
wang pan 	網盤	c=2 d=1 t=9811
wang shang 	網上	c=1 d=1 t=27297
wang wai 	往外	c=1 d=1 t=26533
wang yi 	網易	c=0 d=0.1 t=55
wang yi yun 	網易暈	c=1 d=1 t=56
wang zhan 	網站	c=2 d=1 t=14807
wei 	位	c=51 d=1.00115 t=29401
wei 	偉	c=1 d=1 t=28634
wei 	味	c=2 d=1.96561 t=29119
wei 	喂	c=4 d=1.69073 t=22962
wei 	微	c=7 d=1.62957 t=29342
wei 	未	c=20 d=3.79061 t=28330
wei 	爲	c=101 d=1.2349 t=28429
wei 	胃	c=1 d=1 t=16065
wei ci 	爲此	c=1 d=1 t=12509
wei dai ma 	僞代碼	c=1 d=1 t=14386
wei dao 	味道	c=1 d=1 t=22813
wei fu wu 	微服務	c=2 d=1.00012 t=29239
wei hu 	維護	c=3 d=1 t=13629
wei kong 	爲空	c=14 d=1 t=27508
wei lai 	未來	c=3 d=1.12332 t=14284
wei lai zhi 	未來值	c=1 d=1 t=14285
wei le 	爲了	c=6 d=1.2982 t=29409
wei miao 	微秒	c=1 d=1 t=12654
wei nai 	餵奶	c=1 d=1 t=5836
wei neng 	未能	c=2 d=1.0825 t=15175
wei qiang 	偉強	c=1 d=1 t=3607
wei ruan 	微軟	c=1 d=1 t=22244
wei sha 	爲啥	c=19 d=3.01142 t=29399
wei shen me 	爲什麼	c=2 d=1 t=29344
wei xian 	危險	c=1 d=1 t=26049
wei xin 	微信	c=21 d=1.00787 t=26039
wei yi 	唯一	c=6 d=1.00003 t=28742
wei yi de 	唯一的	c=1 d=1 t=25397
wei yi jian 	唯一鍵	c=2 d=1.97045 t=9066
wei yu 	位於	c=1 d=1 t=25681
wei zhi 	位置	c=3 d=1 t=25642
wei zhi 	爲止	c=2 d=1.13399 t=13688
wen 	問	c=14 d=1 t=27522
wen 	穩	c=4 d=1 t=12168
wen 	聞	c=1 d=1 t=19151
wen 	雯	c=2 d=1.00041 t=24574
wen an 	文案	c=1 d=1 t=9509
wen ben 	文本	c=3 d=2.07514 t=23700
wen da 	問答	c=7 d=0.871052 t=17853
wen da xiang zi 	問答箱子	c=3 d=1.94176 t=20595
wen dang 	文檔	c=13 d=1 t=27505
wen ding 	穩定	c=3 d=1 t=11168
wen du 	溫度	c=1 d=1 t=1805
wen jian 	文件	c=35 d=1.0489 t=27834
wen jian jia 	文件夾	c=1 d=1 t=25339
wen jian shu 	文件樹	c=1 d=1 t=1686
wen juan 	問卷	c=44 d=1 t=27227
wen ming 	文明	c=0 d=0.1 t=19135
wen ming yue 	文明月	c=1 d=1 t=19136
wen ni 	問你	c=2 d=1.13199 t=19350
wen qing chu 	問清楚	c=1 d=1 t=11414
wen ta 	問他	c=1 d=1 t=18843
wen ti 	問題	c=77 d=1.94574 t=27212
wen ti shi 	問題是	c=1 d=1 t=7187
wen wen 	問問	c=18 d=1.00001 t=29558
wen wo 	問我	c=0 d=0.1 t=8435
wen wo yao 	問我要	c=1 d=1 t=24346
wen wo yao bu yao 	問我要不要	c=1 d=1 t=8436
wen yi xia 	問一下	c=2 d=2.0497 t=6010
wen zhang 	文章	c=4 d=1.00001 t=17291
wen zhang li 	文章裏	c=1 d=1 t=1393
wen zhang shuo 	文章說	c=1 d=1 t=1425
wen zhe 	穩着	c=1 d=1 t=23759
wen zhu 	穩住	c=2 d=1 t=26405
wo 	我	c=274 d=3.36408 t=29196
wo ba 	我爸	c=1 d=1 t=4625
wo bu que ding 	我不確定	c=1 d=1 t=2112
